time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
2825	-0.00306796157577	0.013805827091	1.36524290122	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2850	-0.00306796157577	0.013805827091	1.35143707413	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2876	-0.00306796157577	0.013805827091	1.33763124704	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2902	-0.00306796157577	0.013805827091	1.32382541995	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2927	-0.00306796157577	0.013805827091	1.31001959285	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2953	-0.00306796157577	0.013805827091	1.29621376576	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2977	-0.00306796157577	0.013805827091	1.28240793867	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3001	-0.00306796157577	0.013805827091	1.26860211158	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3025	-0.00306796157577	0.013805827091	1.25479628449	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3050	-0.00306796157577	0.013805827091	1.24252443819	0	0	-0.0	-0.0	-0.414690230274	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3077	-0.00306796157577	0.013805827091	1.23178657267	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3102	-0.00306796157577	0.013805827091	1.21644676479	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3127	-0.00306796157577	0.013805827091	1.20417491849	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3153	-0.00306796157577	0.013805827091	1.1903690914	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3178	-0.00460194236366	0.013805827091	1.17502928352	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3204	-0.00306796157577	0.013805827091	1.16122345643	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3229	-0.00306796157577	0.013805827091	1.14741762934	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3254	-0.00306796157577	0.013805827091	1.13514578304	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3283	-0.00306796157577	0.013805827091	1.12133995594	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3309	-0.00306796157577	0.013805827091	1.10446616728	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3334	-0.00306796157577	0.013805827091	1.09066034019	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3358	-0.00306796157577	0.013805827091	1.07838849388	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3384	-0.00306796157577	0.013805827091	1.06611664758	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
3412	-0.00306796157577	0.013805827091	1.05231082049	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
